gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000165490.13	DDIAS	221.09080342544178	-1.013027957378113	0.27662796208865953	1.716778358075899e-5	4.5858259825843473e-4
ENSG00000229047.1	ENSG00000229047	146.91505383686356	-1.3534768567320674	0.3763985043288137	1.7183849061724792e-5	4.5858259825843473e-4
ENSG00000117152.14	RGS4	683.7617359452993	1.1457505528643601	0.3161833598003546	1.754125517556448e-5	4.6460621816359976e-4
ENSG00000257000.1	ENSG00000257000	64.6146657249012	-1.0471703441541638	0.2883864163003605	1.8275483747977372e-5	4.7841531689805017e-4
ENSG00000142798.20	HSPG2	816.8952933060001	-1.5043838052473557	0.4242470930602888	1.9296288231737397e-5	5.020450212505129e-4
ENSG00000066735.16	KIF26A	145.53386100292295	-1.4897321877898082	0.42019595677990085	1.9632133635024956e-5	5.080926113521236e-4
ENSG00000182871.16	COL18A1	1920.568994021927	-1.9891768980839826	0.5671067892988862	1.9671269165094597e-5	5.080926113521236e-4
ENSG00000166664.15	CHRFAM7A	48.24226366218908	1.498202098990352	0.42654510562500536	2.08582631042643e-5	5.324743287398296e-4
ENSG00000132622.11	HSPA12B	18.051503110143358	1.641230850379855	0.46897943394192365	2.093693085381988e-5	5.329400580972333e-4
ENSG00000293110.1	ENSG00000293110	68.19888655697352	-2.1625541162570294	0.6210745399046476	2.0916784556176086e-5	5.329400580972333e-4
ENSG00000107890.17	ANKRD26	178.96923052376226	-1.2975589832051502	0.36577183496779075	2.117426277251929e-5	5.358880850892974e-4
ENSG00000068489.13	PRR11	375.9138165421693	-1.2084132859098924	0.3394118184503406	2.1329560990135397e-5	5.390450657105851e-4
ENSG00000273540.5	AGBL1	20.030103533967182	1.7368589462778639	0.4986209148198803	2.1881256219124357e-5	5.490545657259654e-4
ENSG00000272501.1	ENSG00000272501	34.89135832948359	1.2351306931221075	0.3498155231361105	2.2015260986982658e-5	5.508499344828001e-4
ENSG00000227110.7	LMCD1-AS1	37.99930692923792	1.075797822048547	0.30180565975335033	2.266568363458349e-5	5.655200273183208e-4
ENSG00000172575.14	RASGRP1	63.48763006350673	-1.5678728655821785	0.4493602622788647	2.3217057455866665e-5	5.760181343480844e-4
ENSG00000109452.13	INPP4B	94.55074227651245	-1.131184630115127	0.3181095679057259	2.327292303137625e-5	5.765932054402767e-4
ENSG00000181381.15	DDX60L	230.48903007736482	-1.6406994588866526	0.4715312580752759	2.344253596029349e-5	5.799573248069821e-4
ENSG00000160221.18	GATD3	106.56363917138601	1.2076238833289117	0.34301139590852653	2.3686832271592186e-5	5.843856241550855e-4
ENSG00000177335.13	LINC02904	19.059939431854897	-1.1397429775782721	0.32146412277787506	2.4436368250484635e-5	6.003586851511824e-4
ENSG00000173193.15	PARP14	477.9406476125003	-1.2817039059247073	0.3652262879075474	2.457759524360412e-5	6.021510834683009e-4
ENSG00000154134.15	ROBO3	321.74943956192584	1.5378635863504293	0.4450399773274944	2.5393530031363264e-5	6.18704239990674e-4
